,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs,MTTFTest_SSDs
4491,2019-05-19,none,741589160022.2504,9.775243108868905,482.33099363895593,1.0,200.0,0.009680500460361577,904911.8933333334,1239.6053333333334,37704.66222222222,2.51
4500,2019-05-20,none,732870339934.0155,9.662762111352134,476.3180043383948,0.0,200.0,0.00966190705916375,906653.3083333332,1241.9908333333333,37777.22118055555,2.515
4509,2019-05-21,none,742815520844.291,9.801166180758017,482.8680758017493,0.0,200.0,0.009642736608649536,908455.7999999999,1244.4599999999998,37852.325,2.52
4518,2019-05-22,none,747109251232.5928,9.65022587573132,482.95638006368955,0.0,200.0,0.009623642080711616,910258.2916666665,1246.9291666666666,37927.42881944444,2.525
4527,2019-05-23,none,751278176408.3699,9.79608733880422,488.3367526377491,0.0,200.0,0.009604623025216138,912060.7833333333,1249.3983333333333,38002.532638888886,2.53
4536,2019-05-24,none,748054452712.6407,9.589086127547667,486.5457666739718,0.0,200.0,0.009585678995580604,913863.2749999998,1251.8674999999998,38077.63645833333,2.535
4545,2019-05-25,none,743712020201.2266,9.743641765089487,483.9939134845301,1.0,201.0,0.009614643596482604,911110.215588723,1248.0961857379766,37962.92564953012,2.527363184079602
4554,2019-05-26,none,747719782674.4935,9.651505211750127,486.96530612244896,1.0,202.0,0.009644145359232479,908323.099009901,1244.2782178217822,37846.79579207921,2.51980198019802
4563,2019-05-27,none,742508978901.8134,9.447988401594781,483.3307720188474,1.0,203.0,0.009673537949575293,905563.2019704434,1240.497536945813,37731.80008210181,2.5123152709359604
4572,2019-05-28,none,755491258698.5938,9.655615051712756,491.8051052592973,0.0,203.0,0.009655259156774034,907277.5632183908,1242.8459770114941,37803.23180076628,2.5172413793103448
4581,2019-05-29,none,740253985473.6763,9.4951595553962,482.1484403011832,0.0,203.0,0.00963640122873346,909053.0574712643,1245.2781609195401,37877.210727969345,2.522167487684729
4590,2019-05-30,none,739483539796.9937,9.765265265265265,481.5159076285122,0.0,203.0,0.009617616820880177,910828.551724138,1247.7103448275864,37951.18965517241,2.5270935960591134
4599,2019-05-31,none,742988384324.5106,9.818619698058951,484.1314256955928,1.0,204.0,0.009646190752896749,908130.496732026,1244.014379084967,37838.77069716775,2.519607843137255
4608,2019-06-01,none,750672457938.3046,9.927623467981725,489.15425339038364,0.0,204.0,0.009628110306365054,909835.8578431373,1246.3504901960785,37909.82741013072,2.5245098039215685
4617,2019-06-02,none,744913345225.9954,9.76719310839914,485.38578607322324,0.0,204.0,0.009609451177864346,911602.5294117647,1248.770588235294,37983.438725490196,2.5294117647058822
4626,2019-06-03,none,745153860223.2457,9.824230602514088,485.47695419737033,0.0,204.0,0.009590864231678922,913369.2009803922,1251.19068627451,38057.050040849674,2.534313725490196
4635,2019-06-04,none,745077720246.88,9.762467755803955,485.518486672399,0.0,204.0,0.009572349049764485,915135.8725490195,1253.6107843137254,38130.661356209144,2.5392156862745097
4644,2019-06-05,none,769114285315.902,10.014186493276194,501.3972218117334,0.0,204.0,0.009553905217298656,916902.5441176471,1256.0308823529413,38204.27267156863,2.5441176470588234
4653,2019-06-06,none,759959639456.1506,10.012171872708608,496.28728552573693,0.0,204.0,0.009535532322650007,918669.2156862743,1258.4509803921567,38277.8839869281,2.549019607843137
4662,2019-06-07,none,765387594252.513,10.100263466042154,499.227824941452,0.0,204.0,0.009517229957347413,920435.887254902,1260.8710784313726,38351.495302287585,2.553921568627451
4671,2019-06-08,none,756059660076.0634,10.006485551632197,493.09029329105715,0.0,204.0,0.009498997716049815,922202.5588235293,1263.291176470588,38425.106617647056,2.5588235294117645
