,disk_id,failure_time,model_y,app
416,22642.0,2018-08-18 18:08:17,B2,WSM
417,35757.0,2018-08-17 15:21:05,B2,WS
418,28354.0,2018-05-15 16:11:24,B2,none
419,40245.0,2018-07-26 08:27:27,B2,DAE
420,4842.0,2018-07-13 10:51:49,B2,RM
421,33132.0,2019-01-22 00:00:17,B2,none
422,28389.0,2019-01-02 17:30:13,B2,none
423,46030.0,2018-12-12 19:59:16,B2,none
424,40191.0,2019-04-29 06:11:03,B2,none
425,34165.0,2018-04-13 03:22:07,B2,none
426,20377.0,2019-11-19 21:11:46,B2,none
427,42341.0,2019-02-05 06:01:33,B2,none
428,48663.0,2018-08-13 12:31:50,B2,none
429,18317.0,2019-11-30 03:42:04,B2,RM
430,30227.0,2019-04-18 05:19:18,B2,RM
431,43047.0,2019-02-26 18:34:41,B2,RM
432,2318.0,2018-06-09 03:22:54,B2,none
433,45192.0,2018-12-09 18:51:03,B2,WSM
434,39896.0,2018-11-17 00:59:32,B2,none
435,11097.0,2018-07-09 17:39:26,B2,RM
436,22302.0,2019-09-09 15:49:04,B2,WSM
437,43156.0,2019-08-05 19:34:27,B2,WSM
438,25414.0,2018-12-03 00:49:44,B2,none
439,22303.0,2018-06-17 01:21:26,B2,WSM
440,29808.0,2018-12-27 03:47:16,B2,none
441,5426.0,2019-05-14 14:32:34,B2,none
442,34276.0,2019-12-01 11:36:04,B2,none
443,43344.0,2018-03-12 23:50:38,B2,WSM
444,45118.0,2019-06-11 00:43:20,B2,WSM
445,20793.0,2019-02-19 05:13:16,B2,none
446,25454.0,2019-05-03 01:50:20,B2,none
447,11365.0,2019-08-07 23:18:04,B2,none
448,8108.0,2018-04-18 18:26:16,B2,none
449,30952.0,2018-12-05 16:34:56,B2,RM
450,48437.0,2018-09-20 19:21:50,B2,RM
451,29136.0,2019-07-19 09:07:25,B2,RM
452,43173.0,2019-02-07 16:36:59,B2,RM
453,42675.0,2018-12-26 13:44:08,B2,none
454,5361.0,2019-08-15 15:24:06,B2,none
455,35225.0,2019-09-01 20:24:05,B2,none
456,32618.0,2019-11-05 11:26:04,B2,none
457,7454.0,2018-08-02 08:36:20,B2,none
458,28717.0,2019-08-23 05:56:06,B2,none
459,33642.0,2019-08-23 05:56:05,B2,none
460,5280.0,2019-09-06 03:39:55,B2,none
461,2264.0,2018-10-15 09:26:56,B2,WSM
462,8496.0,2019-01-15 09:05:43,B2,WSM
463,13771.0,2019-01-17 08:12:16,B2,none
464,20833.0,2018-12-15 09:15:52,B2,WSM
465,32492.0,2019-09-12 05:46:32,B2,WSM
466,41469.0,2018-05-16 09:00:46,B2,none
467,43786.0,2018-10-08 18:17:17,B2,none
468,393.0,2018-07-24 03:40:52,B2,none
469,15671.0,2018-10-22 10:24:01,B2,none
470,39298.0,2019-07-23 10:45:09,B2,none
471,9980.0,2019-11-30 11:31:39,B2,none
472,7705.0,2019-01-23 14:15:40,B2,none
473,33200.0,2018-11-22 17:00:29,B2,none
474,3803.0,2019-04-04 19:34:47,B2,none
475,40686.0,2019-04-04 21:23:28,B2,none
476,18537.0,2018-07-01 19:41:50,B2,none
477,12078.0,2019-04-04 17:34:22,B2,none
478,22798.0,2018-11-21 16:19:05,B2,none
479,7450.0,2018-12-29 16:57:57,B2,none
480,26161.0,2018-04-10 05:21:20,B2,none
481,1473.0,2018-10-15 16:01:28,B2,none
482,9480.0,2018-09-04 13:11:29,B2,none
483,12033.0,2019-01-20 07:39:41,B2,WSM
484,23979.0,2019-04-10 14:18:16,B2,none
485,29795.0,2019-12-23 13:36:37,B2,none
486,27788.0,2018-11-22 11:57:32,B2,none
487,19417.0,2019-11-26 04:18:05,B2,RM
488,29931.0,2019-02-15 21:53:11,B2,none
489,27219.0,2018-10-01 14:41:34,B2,RM
490,29082.0,2018-04-18 18:32:09,B2,none
491,21482.0,2018-08-06 11:12:18,B2,RM
492,1498.0,2018-10-01 19:40:31,B2,none
493,43874.0,2018-08-10 21:48:37,B2,RM
494,26287.0,2018-09-04 12:37:21,B2,none
495,32595.0,2019-08-06 02:34:06,B2,RM
496,33133.0,2019-03-01 18:37:37,B2,none
497,44676.0,2019-11-03 02:12:28,B2,WSM
498,34906.0,2018-04-06 22:22:12,B2,WSM
499,35843.0,2018-12-22 15:19:19,B2,WSM
500,18816.0,2018-08-05 07:25:27,B2,WSM
501,9664.0,2018-12-19 20:55:41,B2,RM
502,43364.0,2018-05-23 00:38:13,B2,WSM
503,18527.0,2019-03-08 11:03:57,B2,WSM
504,14033.0,2019-08-12 13:20:49,B2,none
505,33153.0,2018-05-24 19:32:47,B2,WSM
506,3307.0,2019-09-03 15:48:06,B2,RM
507,32909.0,2019-03-28 16:32:57,B2,WSM
508,38161.0,2018-06-26 16:58:23,B2,none
509,30441.0,2018-08-05 10:58:25,B2,none
510,42731.0,2018-05-11 03:05:42,B2,none
511,10026.0,2019-08-12 11:46:04,B2,none
512,21124.0,2019-03-20 11:47:32,B2,WSM
513,19592.0,2019-08-09 11:12:11,B2,WSM
514,44475.0,2018-03-25 17:46:58,B2,WSM
515,9537.0,2019-01-21 15:16:35,B2,WSM
516,39426.0,2019-12-06 09:01:37,B2,WSM
517,31124.0,2018-11-29 03:53:06,B2,WSM
518,9529.0,2019-12-02 03:01:36,B2,WSM
519,1042.0,2019-02-21 00:52:06,B2,WSM
520,36797.0,2018-06-07 03:22:13,B2,SS
521,41988.0,2019-04-16 02:52:53,B2,none
522,40211.0,2019-01-11 20:40:38,B2,none
523,2855.0,2018-05-24 19:32:49,B2,none
524,23806.0,2019-05-14 13:41:46,B2,none
525,23801.0,2019-05-14 13:41:46,B2,none
526,6959.0,2019-12-12 14:24:05,B2,RM
527,9063.0,2019-05-09 22:14:49,B2,WSM
528,9065.0,2019-09-22 06:15:37,B2,WSM
529,8721.0,2018-07-20 20:17:14,B2,WSM
530,16861.0,2019-08-21 04:32:38,B2,WSM
531,46820.0,2018-09-29 18:20:10,B2,WSM
532,16268.0,2019-08-27 09:16:04,B2,WSM
533,11241.0,2019-01-29 14:44:24,B2,NAS
534,40996.0,2019-05-20 06:12:50,B2,NAS
535,38595.0,2019-01-25 21:04:47,B2,WSM
